1	ὁρατός	형용사
1	ὀρθοποδέω	동사
1	ὁσίως	부사
1	παιδεία	명사
1	πάλη	명사
1	παραβολεύομαι	동사
1	παραλογίζομαι	동사
1	παραμύθιον	명사
1	παραπλήσιον	형용사
1	παρείσακτος	형용사
1	παρηγορία	명사
1	παροργισμός	명사
1	πατρικός	형용사
1	πεισμονή	명사
1	περιεργάζομαι	동사
1	πηλίκος	의문/부정 대명사
1	πιθανολογία	명사
1	πικραίνω	동사
1	πλάτος	명사
1	πλησμονή	명사
1	πλουσίως	부사
1	πολίτευμα	명사
1	πολυποίκιλος	형용사
1	πόνος	명사
1	προακούω	동사
1	προελπίζω	동사
1	προευαγγελίζομαι	동사
1	προθεσμία	명사
1	προκαλέομαι	동사
1	προκυρόω	동사
1	προπάσχω	동사
1	προσηλόω	동사
1	προσκαρτέρησις	명사
1	προσφιλής	형용사
1	πρωτεύω	동사
1	πτύρομαι	동사
1	ῥυτίς	명사
1	σαίνομαι	동사
1	σεμνός	형용사
1	σημειόομαι	동사
1	σκοπός	명사
1	σκοτόομαι	동사
1	σκύβαλον	명사
1	Σκύθης	명사
1	σπένδομαι	동사
1	σπίλος	명사
1	στερέωμα	명사
1	στίγμα	명사
1	στῦλος	명사
1	σύζυγος	형용사
1	συλαγωγέω	동사
1	συμμιμητής	명사
1	συμμορφίζομαι	동사
1	συμπολίτης	명사
1	συμφυλέτης	명사
1	σύμψυχος	형용사
1	συναπάγω	동사
1	συνηλικιώτης	명사
1	συνιστάνω	동사
1	συνοικοδομέω	동사
1	Συντύχη	명사
1	συνυποκρίνομαι	동사
1	σύσσωμος	형용사
1	συστοιχέω	동사
1	συστρατιώτης	명사
1	σωματικῶς	부사
1	τελειότης	명사
1	τίνω	동사
1	τοιγαροῦν	접속사
1	τροφός	명사
1	ὑπεναντίος	형용사
1	ὑπεραυξάνω	동사
1	ὑπερβαίνω	동사
1	ὑπερυψόω	동사
1	φαρμακεία	명사
1	φθονέω	동사
1	Φιλιππήσιος	명사
1	φιλοσοφία	명사
1	φρεναπατάω	동사
1	φωστήρ	명사
1	χειρόγραφον	명사
